S.no.,Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
1,ANDHRA PRADESH,Anantapur,89200.23,46136.12,1013.97,50415.31,186765.62,9338.31,177427.31,142953.85,14884.94,157838.79,21623.75,59410.09,88.96
2,ANDHRA PRADESH,Chittoor,115718.55,32389.6,1204.19,38028.6,187340.94,9367.06,177973.88,95256.5,9597.29,104853.79,13528.83,80858.36,58.92
3,ANDHRA PRADESH,East Godavari,104140.05,95383.56,3714.55,50847.53,254085.69,12704.33,241381.36,41688.32,9418.15,51106.47,4226.85,193656.03,21.17
4,ANDHRA PRADESH,Guntur,52942.86,57011.9,2547.96,18800.39,131303.1,6565.15,124737.95,39174.72,8942.35,48117.07,14159.1,79051.91,38.57
5,ANDHRA PRADESH,Kadapa,93311.68,15869.52,2048.53,11177.61,122407.34,6120.4,116286.94,74888.06,4974.42,79862.47,6110.25,56568.63,68.68
6,ANDHRA PRADESH,Krishna,52891.68,70806.39,21641.6,17375.91,162715.57,8135.8,154579.78,47223.03,9772.8,56995.83,7402.78,98790.07,36.87
7,ANDHRA PRADESH,Kurnool,90024.09,43892.8,1203.46,26774.23,161894.57,8094.75,153799.81,53291.48,11008.68,64300.17,16377.9,94278.99,41.81
8,ANDHRA PRADESH,Nellore,128089.98,46637.76,5.16,93668.83,268401.73,13420.14,254981.59,90301.92,6408.13,96710.05,11024.36,159531.34,37.93
9,ANDHRA PRADESH,Prakasam,39372.56,26669.85,56344.85,36593,158980.26,7949.05,151031.21,54372.39,10257.26,64629.64,17557.06,94941.54,42.79
10,ANDHRA PRADESH,Srikakulam,34847.68,35719.34,17837.37,19681.53,108085.91,5404.34,102681.56,40762.37,8747.99,49510.36,17007.28,63919.93,48.22
11,ANDHRA PRADESH,Visakhapatnam,61906.83,10809.63,6823.31,2690.68,82230.45,4538.54,77691.9,12608.08,6496.48,19104.57,7980.54,59560.86,24.59
12,ANDHRA PRADESH,Vizianagaram,59226.39,21945.67,6795.38,17486.23,105453.67,5272.77,100180.9,20595.54,511.42,21106.97,4922,77587.51,21.07
13,ANDHRA PRADESH,West Godavari,74662.56,58478.66,48.11,58931.01,192120.35,9606.03,182514.32,71924.15,3642.89,75567.04,6028.8,113241.04,41.4
14,ARUNACHAL PRADESH,Anjaw,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
15,ARUNACHAL PRADESH,Changlang,12375.64,696,13629.49,71.16,26772.29,2849.44,23922.85,0,174,174,571.87,23350.98,0.73
16,ARUNACHAL PRADESH,Dibang Valley,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
17,ARUNACHAL PRADESH,East Kameng,7281.63,233,2413.44,0,9928.07,992.81,8935.26,0,25,25,169.06,8766.2,0.28
18,ARUNACHAL PRADESH,East Siang,56206.01,5327,20135.02,670.93,82338.96,13307.12,69031.84,0,65,65,176.16,68855.68,0.09
19,ARUNACHAL PRADESH,Kurung Kumey,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
20,ARUNACHAL PRADESH,Lohit,55018.3,2311,31078.96,0,88408.26,8840.83,79567.43,0,218.48,218.48,666,78900.96,0.27
21,ARUNACHAL PRADESH,Lower Dibang Valley,39162.24,1749,20240.3,0,61151.54,6115.15,55036.39,0,32,32,62.4,54973.98,0.06
22,ARUNACHAL PRADESH,Lower Subansiri,1358.9,1227,729.69,78.74,3394.33,738.65,2655.68,0,18,18,105.2,2550.48,0.68
23,ARUNACHAL PRADESH,Papum Pare,6076.25,1950,3165.94,3.53,11195.72,1449.26,9746.46,0,99.4,99.4,492.34,9239.72,1.02
24,ARUNACHAL PRADESH,Tawang,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
25,ARUNACHAL PRADESH,Tirap,5204.06,819,1866.92,0,7889.98,394.5,7495.48,0,63,63,135.25,7360.23,0.84
26,ARUNACHAL PRADESH,Upper Siang,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
27,ARUNACHAL PRADESH,Upper Subansiri,103.31,912,42.45,0,1057.76,105.78,951.98,0,16,16,107.25,844.74,1.68
28,ARUNACHAL PRADESH,West Kameng,2976.01,318,668.99,0,3963,396.3,3566.7,0,11.72,11.72,30.26,3535.72,0.33
29,ARUNACHAL PRADESH,West Siang,3148.38,2126,1125.57,0,6399.95,640,5759.95,0,21.9,21.9,43.72,5715.34,0.38
30,ASSAM,Baksa,92583.69,1652.06,28843.21,1256.04,124335,17309.64,107025.37,2548.56,2558.8,5107.36,2970.09,101465.32,4.77
31,ASSAM,Barpeta,110295.03,2216.29,26788.85,7861.3,147161.47,8293.48,138867.99,24276,4407.4,28683.4,5158.32,109421.07,20.66
32,ASSAM,Bongaigaon,43080.26,1088.59,14971.04,3252.26,62392.15,3807.16,58584.99,10024.56,1996.55,12021.11,2286.71,46236.65,20.52
33,ASSAM,Cachar,57788.78,1223.79,36771.75,1418.09,97202.41,40846.83,56355.58,0,4628.94,4628.94,5262.84,50985.94,8.21
34,ASSAM,Chirang,67557.61,1956.57,26339.72,627.49,96481.38,9648.14,86833.24,1522.08,1170.95,2693.03,1279.67,84031.49,3.1
35,ASSAM,Darrang,44493.56,2048.29,17536.82,5974.18,70052.85,14966.88,55085.97,15469.44,2365.16,17834.6,2703.49,36839.32,32.38
36,ASSAM,Dhemaji,173356.96,296.11,39037.38,616.18,213306.63,27923.94,185382.68,1631.28,1618.94,3250.22,1851.97,181874.23,1.75
37,ASSAM,Dhubri,94570.56,2012.96,24694.29,6935.06,128212.87,12821.29,115391.58,23570.4,4715.35,28285.75,5648.33,86172.85,24.51
38,ASSAM,Dibrugarh,121093.52,513.27,48314.08,1614.29,171535.16,22447.18,149087.98,4890.48,3462.75,8353.23,3571.33,140417.47,5.6
39,ASSAM,Dima Hasao,1685.89,531.66,2107.09,131.74,4456.37,445.64,4010.74,337.68,494.7,832.38,543.87,3123.19,20.75
40,ASSAM,Goalpara,69946.47,1721.96,24384.58,3473.62,99526.63,15640.36,83886.27,9866.64,2292.6,12159.24,2703.66,71307.97,14.49
41,ASSAM,Golaghat,81499.92,1472.98,35673.68,1444.32,120090.9,16479.52,103611.38,3677.52,1980.97,5658.49,2067.86,97757.82,5.46
42,ASSAM,Hailakandi,17628.82,852.67,12101.28,1407.83,31990.6,11227.67,20762.93,5.04,1020.45,1025.49,1019.71,19586.39,4.94
43,ASSAM,Jorhat,71479.54,698.57,36102.78,1526.48,109807.38,24025.37,85782,4215.12,2279.33,6494.45,2398.33,79116.95,7.57
44,ASSAM,Kamrup,61672.48,2243.34,25759.62,6174.53,95849.96,16039.84,79810.13,20144.88,3966.07,24110.95,3892.27,55258.35,30.21
45,ASSAM,Kamrup Metro (Rural),17327.69,487.97,7237.5,944.65,25997.81,3664.46,22333.35,1537.2,1544.84,3082.04,324.25,19209.27,13.8
46,ASSAM,Kamrup Metro (U),5076.1,769.75,2120.21,1571.58,9537.64,2958.7,6578.94,0,2982.74,2982.74,1782.24,3572.7,45.34
47,ASSAM,Karbi Anglong,27629.74,4865.69,10678.3,778.14,43951.87,14506.81,29445.06,342.72,1062.26,1404.98,957.57,27920.37,4.77
48,ASSAM,Karimganj,32091.37,785.15,26112.55,891.83,59880.9,12030.56,47850.34,80.64,1255.29,1335.93,1454.08,46295.22,2.79
49,ASSAM,Kokrajhar,187662.43,1847.76,46828.25,1905.09,238243.53,40644.34,197599.19,5913.6,622.33,6535.93,649.54,191036.05,3.31
50,ASSAM,Lakhimpur,90950.92,513.78,27460.03,1292.4,120217.12,6656.32,113560.8,3044.16,2461.34,5505.5,2763.82,107715.92,4.85
51,ASSAM,Morigaon,42631.34,1102.5,12067.25,3418.57,59219.66,15542.91,43676.75,10777.2,2529.02,13306.22,2972.72,29897.9,30.47
52,ASSAM,Nagaon,90955.7,3279.08,29182.99,9128.92,132546.69,7715.41,124831.28,26891.76,7528.91,34420.67,8626.62,89105.22,27.57
53,ASSAM,Nalbari,36992.74,912.51,12882.88,2811.29,53599.41,19686.46,33912.95,7153.44,1561.72,8715.16,1704.8,25045.54,25.7
54,ASSAM,Sivasagar,69613.93,565.19,27055.33,1004.37,98238.82,43000.4,55238.42,2437.68,2973.66,5411.34,3064.83,49606.31,9.8
55,ASSAM,Sonitpur,153397.89,1568.99,53380.03,2918.99,211265.91,23537.63,187728.28,8611.68,6021.04,14632.72,5699.88,172455.05,7.79
56,ASSAM,Tinsukia,121394.33,469.78,51609.72,1538.84,175012.67,6709.39,168303.29,4033.68,3556.21,7589.89,3829.26,160285.02,4.51
57,ASSAM,Udalguri,37653.44,5576.43,22261.25,1602.76,67093.88,2958.72,64135.16,4467.12,2279.87,6746.99,2065.36,57236.98,10.52
58,BIHAR,Araria,68115.68,5490.17,23116.63,2253.9,98976.38,7096.03,91880.35,11922.9,6109.18,18032.08,5183.95,73848.23,19.63
59,BIHAR,Arwal,12851.81,4814.68,1563.54,3241.27,22471.3,1275.82,21195.48,6339.79,1833.44,8173.23,1425.81,13022.22,38.56
60,BIHAR,Aurangabad,72714.15,10049.92,12734.88,8267.84,103766.79,5188.34,98578.45,20499.58,5720.93,26220.51,4426.7,72357.9,26.6
61,BIHAR,Banka,30603.57,8460.49,6122.18,4660.01,49846.25,3010.68,46835.57,11808.54,4386.66,16195.2,3584.41,30658.22,34.58
62,BIHAR,Begusarai,44390.79,6438.5,4751.7,15894.35,71475.34,7147.53,64327.81,26045.4,7604.38,33649.78,5862.49,30677.92,52.31
63,BIHAR,Bhabhua,59233.91,14993.94,3682.25,20846.79,98756.89,8855.56,89901.33,25513.2,4323.31,29836.51,2893.2,60064.77,33.19
64,BIHAR,Bhagalpur,60365.06,3006.16,8725.8,3404.01,75501.03,5009.15,70491.88,13838,5529.83,19367.83,4480.55,51123.98,27.48
65,BIHAR,Bhojpur,55130.76,17566.73,3058.45,17998.66,93754.6,9011.57,84743.03,40226.48,7199.1,47425.58,4871.23,37317.37,55.96
66,BIHAR,Buxar,30439.74,17328.23,2182.74,15881.84,65832.55,6583.26,59249.3,26289,4253.28,30542.28,2781.88,28706.97,51.55
67,BIHAR,Darbhanga,54719.49,13978.6,10699.34,16416.13,95813.56,7831.49,87982.07,20754.3,9312.23,30066.53,7743.63,57915.45,34.17
68,BIHAR,East Champaran,92005.72,23656.96,15607.44,14524.88,145795,12085.98,133709.02,44138.44,11855.79,55994.23,9087.7,77714.64,41.88
69,BIHAR,Gaya,80826.07,8504.1,14017.31,12027.57,115375.05,7534.19,107840.86,59207.33,11697.34,70904.67,8130.99,38745.06,65.75
70,BIHAR,Gopalganj,50922.1,15962.57,5863.56,16551.23,89299.46,7474.14,81825.32,52663.2,7420.54,60083.74,4520.71,23024.45,73.43
71,BIHAR,Jamui,30260.9,3479.48,2260.92,4315.43,40316.73,3365.3,36951.43,8131.51,3674.51,11806.02,3074.42,25145.36,31.95
72,BIHAR,Jehanabad,21152.49,3968.81,1805.45,8343.55,35270.3,2903.71,32366.59,27537.99,3438.59,30976.58,1940.81,2280.46,95.71
73,BIHAR,Katihar,82157.68,7797.79,11091.52,8793.29,109840.28,9686.62,100153.66,55644.33,8177.77,63822.1,5102.41,36331.5,63.72
74,BIHAR,Khagaria,38532.68,5090.31,3974.6,28655.65,76253.24,7625.32,68627.92,18258.48,3935.18,22193.66,2860.13,46434.23,32.34
75,BIHAR,Kishanganj,59622.24,1001.98,16093.09,2230.2,78947.51,7894.75,71052.76,11648.7,3715.82,15364.52,2947.46,55688.2,21.62
76,BIHAR,Lakhisarai,21916.4,5238.04,1686.96,3331.36,32172.76,3217.28,28955.48,6478.48,2168.43,8646.91,1729.15,20659,29.86
77,BIHAR,Madhepura,38398.84,7157.06,8821.12,10202.9,64579.92,4107.62,60472.3,29938.95,5298.5,35237.45,3586.48,25234.8,58.27
78,BIHAR,Madhubani,75981.86,17619.79,9595.41,13937.27,117134.33,11216.47,105917.86,29360.7,9527.88,38888.58,7632.42,67029.18,36.72
79,BIHAR,Munger,25119.64,5925.68,1741.87,4647.44,37434.63,3239.02,34195.61,8305.8,2994.2,11300,2401.24,22988.52,33.05
80,BIHAR,Muzaffarpur,65578.77,19895.06,9378.41,24801,119653.24,9537.66,110115.58,62215.71,12168.96,74384.67,8517.04,36390.05,67.55
81,BIHAR,Nalanda,50252.21,11209.91,6604.69,20515.03,88581.84,8325.91,80255.93,47302.64,7943.75,55246.39,5217.06,25190.6,68.84
82,BIHAR,Nawada,41340.26,7047.17,3921.06,10570.99,62879.48,4771.66,58107.82,26098.05,4666.67,30764.72,3150.74,27342.98,52.94
83,BIHAR,Patna,68567.74,9290.91,9689.58,12754.29,100302.52,7147.66,93154.86,42572.72,13373.5,55946.22,10340.92,37411.34,60.06
84,BIHAR,Purnia,80325.57,3941.22,28554.42,4335.13,117156.34,6445.5,110710.84,52635.73,8493.22,61128.95,5527.68,49581.82,55.21
85,BIHAR,Rohtas,87894.68,12299.81,10245.26,5240.61,115680.36,10092.11,105588.25,19053.39,6597.77,25651.16,5296.95,79936.95,24.29
86,BIHAR,Saharsa,38572.31,4997.73,6107.21,4159.38,53836.63,3340.89,50495.74,16507.2,4100.48,20607.68,3103.05,29888.01,40.81
87,BIHAR,Samastipur,57602.36,27253.08,12853.22,36126.18,133834.84,7837.77,125997.07,49445.7,10094.13,59539.83,7225.88,66457.14,47.25
88,BIHAR,Saran,59443.26,10320.09,6265.22,11768.1,87796.67,5840.87,81955.8,42716.7,9481.13,52197.83,6929.46,29757.9,63.69
89,BIHAR,Sheihkpura,14400.81,2865.05,1937.21,4133.93,23337,1618.18,21718.82,6720.9,1609.62,8330.52,1188.88,13388.26,38.36
90,BIHAR,Sheohar,12124.72,1311.34,109.15,895.03,14440.24,1338.04,13102.2,6048,1544.74,7592.74,1172.87,5509.43,57.95
91,BIHAR,Sitamarhi,55703.5,7025.21,2533.52,4967.33,70229.56,4806.39,65423.17,22680.86,7349.44,30030.3,5876.09,35392.79,45.9
92,BIHAR,Siwan,45698.33,23943.23,4768.49,19838.17,94248.22,5959.42,88288.8,42117.26,8036.56,50153.82,5617.81,38134.89,56.81
93,BIHAR,Supaul,53625.57,11013.31,18893.06,8670.44,92202.38,6509.85,85692.53,25006.95,5253.79,30260.74,3790.76,55431.73,35.31
94,BIHAR,Vaishali,47520.05,12004.78,6996.69,10363.93,76885.45,6951.47,69933.98,35099.18,8458.45,43557.63,6338.43,26764.35,62.28
95,BIHAR,West Champaran,98972.51,22636.52,16150.1,33960.02,171719.15,10723.12,160996.03,27144.2,9152.99,36297.19,7359.06,124698.75,22.55
96,CHATTISGARH,Balod,17178.84,7717.07,0,9938.71,34834.62,2713.76,32120.86,18571.03,2238.51,20809.54,2290.93,11090.46,64.79
97,CHATTISGARH,Baloda Bazar,35270.94,15185.95,3199.33,6853.85,60510.07,6051.02,54459.05,17672.41,4141.52,21813.93,5427.57,31348.53,40.06
98,CHATTISGARH,Balrampur,47125.34,1471.44,4687.57,3158.93,56443.28,5176.26,51267.02,14188.27,1825.95,16014.22,2110.62,34968.13,31.24
99,CHATTISGARH,Bastar,25306.64,725.98,4795.7,1639.88,32468.2,2840.24,29627.96,5618.18,2116.04,7734.22,2347.48,21621.62,26.1
100,CHATTISGARH,Bemetara,16646.26,12525.56,0,13977.93,43149.75,4314.97,38834.78,28286.77,2028.02,30314.79,2533.94,7969.48,78.06
101,CHATTISGARH,Bijapur,34518.65,188.02,4178.56,562.23,39447.46,3944.74,35502.72,1874.06,620.63,2494.7,689.28,32938.55,7.03
102,CHATTISGARH,Bilaspur,30466.89,7457.13,4692.02,7166.4,49782.44,4104.52,45677.92,17798.32,6119.32,23917.64,7028.27,20327.51,52.36
103,CHATTISGARH,Dantewara,17272.01,139.37,2803.05,931.39,21145.82,1229.05,19916.77,2138.23,694.31,2832.54,758.4,17019.83,14.22
104,CHATTISGARH,Dhamtari,22019.95,9720,0,11625.92,43365.87,4336.6,39029.27,22854.81,2038.64,24893.45,2139.5,13945.24,63.78
105,CHATTISGARH,Durg,13509.67,8420.75,0,9118.98,31049.4,3104.95,27944.45,17603.39,5465.05,23068.44,5023.17,5250.29,82.55
106,CHATTISGARH,Gariaband,23545.16,5157.24,0,5176.9,33879.3,2515.75,31363.55,14842.44,1511.78,16354.22,1761.03,14757.02,52.14
107,CHATTISGARH,Janjgir-Champa,20152.44,12117.48,3371.19,8242.38,43883.49,3812.24,40071.25,14528.66,4395.31,18923.97,4892.86,20425.23,47.23
108,CHATTISGARH,Jashpur,29183.09,1767.82,4870.86,3611.92,39433.69,3756.96,35676.73,11849.74,2095.23,13944.96,2271.17,21515.61,39.09
109,CHATTISGARH,Kanker,54666.14,2496.52,6636.56,7856.15,71655.37,5354.7,66300.67,19918.75,1851.17,21769.92,2086.98,44291.49,32.84
110,CHATTISGARH,Kawardha,30865.93,4509.37,3942.86,7713.21,47031.37,3980.18,43051.19,25294.34,2223.17,27517.51,2633.37,15076.45,63.92
111,CHATTISGARH,Kondagaon,27838.8,737.34,4654.5,2180.35,35410.99,2827.77,32583.22,11238.13,1428.63,12666.76,1610.41,19732.7,38.88
112,CHATTISGARH,Korba,31116.19,922.18,4089.97,2007.9,38136.24,3156.15,34980.09,8159.85,4379.07,12538.91,3710.71,21923.8,35.85
113,CHATTISGARH,Koriya,40415.7,4134.58,3332.6,2360.19,50243.07,4453.16,45789.91,7799.24,1659.71,9458.95,1783.71,36178.96,20.66
114,CHATTISGARH,Mahasamund,46341.27,6775.73,1267.56,11414.38,65798.94,5666.58,60132.36,33144.4,2621.26,35765.66,2964.64,23990.11,59.48
115,CHATTISGARH,Mungeli,10758.94,2915.44,0,3051.8,16726.18,1599.61,15126.57,6591.88,1629.55,8221.43,2415.75,6117.5,54.35
116,CHATTISGARH,Narayanpur,22556.28,264.34,3730.18,483.08,27033.88,1779.69,25254.19,643.2,343.97,987.17,383.57,24227.42,3.91
117,CHATTISGARH,Raigarh,31007.68,3601.55,5198.26,4941.12,44748.61,3581.88,41166.73,16093.58,4198.77,20292.35,4318.72,20327.56,49.29
118,CHATTISGARH,Raipur,20050.78,10717.93,626.47,11424.75,42819.93,4108.58,38711.35,17410.21,6839.51,24249.72,7555.95,13657.07,62.64
119,CHATTISGARH,Rajnandgaon,38627.31,11790.79,4412.1,15313.75,70143.95,6200.37,63943.58,32625,4304.56,36929.55,5171.94,26039.09,57.75
120,CHATTISGARH,Sukma,31231.09,321.43,0,433.56,31986.08,2861.89,29124.19,890.28,587.34,1477.62,627.3,27606.61,5.07
121,CHATTISGARH,Surajpur,27781.65,2491.15,2184.18,8362.53,40819.51,3253.73,37565.78,18359.7,1957.13,20316.82,2221.79,16979.21,54.08
122,CHATTISGARH,Surguja,36072.42,1530.27,3522.68,4168.22,45293.59,3756.23,41537.36,12120.05,2098.38,14218.42,2364.64,27047.9,34.23
123,DELHI,Central Delhi,711.25,1291.95,129.85,407.58,2540.62,164.39,2376.23,189.51,1731.5,1921.01,1984.84,292.4,80.84
124,DELHI,East Delhi,147.76,182.52,34.44,1133.1,1497.83,113.37,1384.46,690,811.5,1501.5,817.63,4.34,108.45
125,DELHI,New Delhi,1852.76,191.09,371,1014.21,3429.06,212.43,3216.63,955.13,4172.89,5128.02,4046.05,0,159.42
126,DELHI,North Delhi,3431.32,1113.28,750.2,4304.94,9599.74,479.99,9119.76,1868.23,5792.21,7660.44,6729.57,913.93,84
127,DELHI,North East Delhi,284.26,366.58,60.97,355.43,1067.24,89.56,977.68,329.01,821.38,1150.39,964.82,0,117.66
128,DELHI,North West Delhi,1475.87,1159.92,260.26,1275.96,4172.01,208.6,3963.41,711.59,2048.86,2760.45,2245.11,978.15,69.65
129,DELHI,Shahdara,274.56,64.06,58.8,225.04,622.47,58.61,563.86,57.36,884.24,941.6,930.15,0,166.99
130,DELHI,South Delhi,1454.8,31.39,303.24,129.05,1918.48,111.89,1806.59,466.71,4137.8,4604.51,4115.11,0,254.87
131,DELHI,South East Delhi,841.64,367.97,190.59,307.09,1707.29,142.42,1564.87,1426.64,1852.46,3279.1,2043.82,0,209.54
132,DELHI,South West Delhi,1435.54,173.17,299.49,472.1,2380.29,238.03,2142.27,2075.54,2407.11,4482.64,2481.72,0,209.25
133,DELHI,West Delhi,887.29,380.75,189.89,1068.2,2526.14,126.31,2399.83,283.79,1876.84,2160.63,2049.22,8,90.03
134,DELHI,Non Revenue Unit,45.16,516.16,77.52,0,638.85,63.88,574.96,0,400,400,472.35,102.61,69.57
135,GOA,North Goa,9981.48,2401.94,0,3654.35,16037.77,6415.11,9622.66,1009.71,1847.14,2856.85,2037.45,4728.36,29.69
136,GOA,South Goa,9014.06,130.41,644.26,895.84,10684.57,4273.83,6410.74,1048.14,1466.37,2514.51,1631.79,2264.45,39.22
137,GUJARAT,Ahmedabad,39237.37,8763.67,0,9845.43,57846.47,2892.32,54954.15,35902.2,3671.97,39574.17,3974,14527.39,72.01
138,GUJARAT,Amreli,104008.67,11261.72,0,10873.04,126143.43,6307.17,119836.26,70915.6,2344.18,73259.78,2600,45969.04,61.13
139,GUJARAT,Anand,31573.68,16408.41,0,19793.63,67775.72,3388.79,64386.93,24645.9,3410.7,28056.6,3774,35455.75,43.57
140,GUJARAT,Arvalli,54198,6755.21,0,5954.55,66907.76,3345.39,63562.37,34789.5,1699.62,36489.12,1935,26582.93,57.41
141,GUJARAT,Banaskantha,108741.52,25708.07,0,13117.87,147567.45,7378.37,140189.08,153015.9,4476.37,157492.27,4842,11310.77,112.34
142,GUJARAT,Bharuch,38578.52,4518.91,0,10364.94,53462.37,2673.12,50789.25,15136.7,1738.53,16875.23,2813,32579.11,33.23
143,GUJARAT,Bhavnagar,60632.36,12108.87,0,9220.02,81961.26,4098.06,77863.2,43098.3,3253.53,46351.83,4659,29617.87,59.53
144,GUJARAT,Botad,30879.16,3699.19,0,2892.38,37470.73,1873.54,35597.2,21385.1,995.31,22380.41,1237,12825.8,62.87
145,GUJARAT,Chhota udepur,19160.21,7323.5,0,9142.76,35626.48,1781.32,33845.15,14573.4,1688.53,16261.93,1991,17027.47,48.05
146,GUJARAT,Dahod,22691.52,11277.61,0,7515.52,41484.65,2074.23,39410.42,14643.2,3429,18072.2,4232,20020.5,45.86
147,GUJARAT,Dang,5165.87,3371,0,37,8573.87,429,8144.87,610,386.8,996.8,455,7021.77,12.24
148,GUJARAT,Devbhumi Dwarka,25540.11,3310.52,0,1593.56,30444.19,1522.71,28921.48,17533.8,1061.71,18595.51,1370,9858.42,64.3
149,GUJARAT,Gandhinagar,40861.21,5888.93,0,2731.67,49481.81,2474.09,47007.72,51114,2263.7,53377.7,2498,0,113.55
150,GUJARAT,Gir Somnath,42519.05,4047.36,0,5192.14,51758.55,2587.93,49170.62,28808.8,1314.78,30123.58,3512,16652.61,61.26
151,GUJARAT,Jamnagar,65638.79,10361.18,0,3283.57,79283.53,3964.18,75319.35,45686.9,1970.47,47657.37,2561,26775.88,63.27
152,GUJARAT,Junagadh,87552,8136.66,0,8463.15,104151.81,5207.59,98944.22,61232.55,2334.31,63566.86,2733,34628.52,64.25
153,GUJARAT,Kachchh,58705.32,16242.9,0,13220.84,88169.06,4408.46,83760.6,68013.5,2235.48,70248.98,3918,13896.67,83.87
154,GUJARAT,Kheda,36371.57,16751.15,0,17054.67,70177.39,3508.91,66668.48,29286.4,3270.14,32556.54,3714,33177.03,48.83
155,GUJARAT,Mahesana,88305.48,14832.34,0,11801.91,114939.73,5746.99,109192.75,122279.1,3117.39,125396.49,3383,900.7,114.84
156,GUJARAT,Mahisagar,22394.94,6526.39,0,8122.51,37043.84,1852.19,35191.65,11979.5,1651.7,13631.2,1879,21086.45,38.73
157,GUJARAT,Morbi,48353.66,4433.05,0,5808.7,58595.41,2929.77,55665.64,32588.8,1135.66,33724.46,1713,21193.49,60.58
158,GUJARAT,Narmada,11503.5,6541.31,0,7131.91,25176.72,1258.84,23917.88,3660.7,971.07,4631.77,1092,19020.22,19.37
159,GUJARAT,Navsari,42109.58,6218.27,0,11908.61,60236.46,3011.82,57224.63,18422.5,2121.3,20543.8,2272,36211.93,35.9
160,GUJARAT,Panchmahal,19945.37,11806.93,0,10516.55,42268.85,2113.45,40155.39,11934.5,2742.92,14677.42,3148,24660.59,36.55
161,GUJARAT,Patan,21368.79,12197.66,0,6706.27,40272.71,2013.64,38259.07,37697.5,869.13,38566.63,968,611.05,100.8
162,GUJARAT,Porbandar,18217.6,2421.58,0,1110.83,21750.01,1087.5,20662.51,14175,563.14,14738.14,1013,5413.36,71.33
163,GUJARAT,Rajkot,115745.68,23899.65,0,16908.43,156553.76,7827.69,148726.07,93071.3,2884.45,95955.75,3444,51777.66,64.52
164,GUJARAT,Sabarkantha,64747.17,15500.67,0,9100.1,89347.95,4467.4,84880.55,57122.9,2332.41,59455.31,2655,24752.79,70.05
165,GUJARAT,Surat,77719.11,22063.19,0,26612.3,126394.6,6319.73,120074.87,28865.2,3976,32841.2,4572,86042.67,27.35
166,GUJARAT,Surendranagar,58510.53,9432.18,0,3791.58,71734.29,3586.71,68147.58,38159,1417.4,39576.4,2808,26968.04,58.07
167,GUJARAT,Tapi,30889.34,6821.91,0,6458.35,44169.6,2208.48,41961.12,16672.9,1313.24,17986.14,1449,23641.66,42.86
168,GUJARAT,Vadodara,68427.99,12374.88,0,21135.1,101937.97,5096.9,96841.08,52570,3506.76,56076.76,2530,41215.16,57.91
169,GUJARAT,Valsad,35142.63,8833.86,0,4173.55,48150.03,2407.97,45742.06,14504.4,3481.62,17986.02,4491,26223.54,39.32
