S.no.,Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
346,MAHARASHTRA,Bhandara,31142.09,45350.23,417.8,15413.63,92323.75,6784.11,85539.63,20990.98,3521.3,24512.27,3817.34,60731.32,28.66
347,MAHARASHTRA,Buldhana,64156.86,4768.16,275.87,19519.09,88719.98,5127.67,83592.31,58983.5,3106.29,62089.78,3817.05,23043.24,74.28
348,MAHARASHTRA,Chandrapur,97204.67,4834.16,1471.94,10306.92,113817.69,5908.87,107908.82,10637,10228.01,20865.01,11247.56,86024.26,19.34
349,MAHARASHTRA,Dhule,44091.26,7170.15,0,20694.25,71955.66,4176.84,67778.81,34545.18,1786.61,36331.79,6129.71,27103.92,53.6
350,MAHARASHTRA,Gadchiroli,94138.79,2040.86,0,10389.57,106569.21,5970.25,100598.96,19177.22,3643.47,22820.69,4187.79,77233.95,22.68
351,MAHARASHTRA,Gondia,42884.11,6619.76,645.56,15779.95,65929.38,3924.61,62004.77,9398.54,5985.11,15383.64,6538.2,46068.04,24.81
352,MAHARASHTRA,Hingoli,46490.02,1492.73,1340.56,28431.41,77754.73,3937.89,73816.84,37052.52,2163.03,39215.55,7408.27,29356.05,53.13
353,MAHARASHTRA,Jalgaon,86052.15,6375.98,574.14,44902.36,137904.63,6974.15,130930.48,100695.03,4880.25,105575.29,15343.12,20161.03,80.63
354,MAHARASHTRA,Jalna,57320.69,2522.77,115.46,24898.25,84857.16,4621.78,80235.38,42433.06,1360.75,43793.81,3919.76,33882.56,54.58
355,MAHARASHTRA,Kolhapur,52822.22,9290.17,753.39,66060.06,128925.84,6841.7,122084.14,49557.12,1751.76,51308.88,1997.01,70530.02,42.03
356,MAHARASHTRA,Latur,45726.03,6929.64,0,16210.55,68866.23,3453.2,65413.03,34270.64,2142.34,36412.97,4126.61,27018.98,55.67
357,MAHARASHTRA,Nagpur,66817.65,6221.47,2587.51,19143,94769.63,5165.1,89604.53,35642.88,10318.95,45961.83,10660.92,43300.72,51.29
358,MAHARASHTRA,Nanded,98215.34,843.03,3504.27,17403.1,119965.73,6002.56,113963.17,34916.94,3270.07,38187,9328.19,69718.04,33.51
359,MAHARASHTRA,Nandurbar,39060.71,2624.03,0,8939.55,50624.3,3201.39,47422.91,17590.86,3064.69,20655.56,11934.88,17941.71,43.56
360,MAHARASHTRA,Nashik,133827.97,14203.47,0,48347.66,196379.1,10743.78,185635.32,104572.27,3518.53,108090.8,8578.07,76211,58.23
361,MAHARASHTRA,Osmanabad,60460.58,6503.68,2583.66,15676.73,85224.64,4261.23,80963.41,48461.89,2305.61,50767.51,6232.84,26268.67,62.7
362,MAHARASHTRA,Palghar,19011.8,241.69,0,3425.04,22678.53,1361.94,21316.58,3703.08,885.36,4588.44,4301.93,13311.58,21.53
363,MAHARASHTRA,Parbhani,56000.04,1487.22,645.42,25891.57,84024.26,4310.15,79714.11,35761.68,1984.28,37745.96,9619.29,34333.14,47.35
364,MAHARASHTRA,Pune,96075.81,18178.58,1263.73,69875.02,185393.14,10014.54,175378.6,118190.27,8249.73,126440,10714.46,52295.08,72.1
365,MAHARASHTRA,Raigad,33614.36,382.59,0,5438.27,39435.22,2003.86,37431.36,4205.89,2156.34,6362.23,5749.76,27475.71,17
366,MAHARASHTRA,Ratnagiri,41118.99,118.2,0,2025.51,43262.7,2160.67,41102.03,5064.58,1261.81,6326.39,1599.94,34388.3,15.39
367,MAHARASHTRA,Sangli,51956.77,18938.07,0.61,61752.24,132647.69,8960.02,123687.67,69493.03,3338.34,72831.37,6938.32,50768.5,58.88
368,MAHARASHTRA,Satara,53177.54,10002.24,3762.79,32613.32,99555.89,5134.75,94421.14,57746.57,4829.8,62576.37,5505.9,31168.68,66.27
369,MAHARASHTRA,Sindhudurg,22398.94,176.99,0,2133.28,24709.22,1266.77,23442.45,7030.04,2232.75,9262.78,2411.36,14001.05,39.51
370,MAHARASHTRA,Solapur,90200.57,10809.87,2954.07,40676.66,144641.17,7373.97,137267.2,102711.83,4862.7,107574.53,5642.17,34029.08,78.37
371,MAHARASHTRA,Thane,15200.67,283.85,0,2214.31,17698.83,1047.69,16651.14,2348.32,706.24,3054.56,1404.17,12898.65,18.34
372,MAHARASHTRA,Wardha,60064.39,1128.37,1229.63,21008.25,83430.64,4362.55,79068.08,39911.98,3472.72,43384.7,3698.33,35457.78,54.87
373,MAHARASHTRA,Washim,40996.75,2586.44,68.86,12236.61,55888.66,2989.37,52899.29,29499.37,2005.3,31504.67,2473.89,20926.03,59.56
374,MAHARASHTRA,Yawatmal,94994.19,2676.32,5793.54,16403.96,119868.02,6316.01,113552,28111.93,5752.54,33864.46,15018.53,70167.01,29.82
375,MANIPUR,Bishnupur,4485.43,129.87,3287.35,259.8,8162.5,816.25,7346.2,57.19,23.95,81.14,695.87,6593.14,1.1
376,MANIPUR,Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
377,MANIPUR,Churachandpur,2902.87,157.36,2127.5,314.71,5502.4,550.24,4952.19,75.25,19.96,95.21,407.46,4469.48,1.92
378,MANIPUR,Imphal East,2106.16,77.04,1543.6,155.26,3882.1,388.21,3493.85,6.02,27.98,34,812.55,2657.28,0.97
379,MANIPUR,Jiribam,4305.47,87.65,3155.46,174.95,7723.5,772.35,6951.18,27.09,26.95,54.04,254.69,6669.4,0.78
380,MANIPUR,Imphal West,4693.42,198.12,3439.79,397.88,8729.2,872.92,7856.3,105.35,60.89,166.24,1212.03,6532.92,2.12
381,MANIPUR,Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0
382,MANIPUR,Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
383,MANIPUR,Thoubal,4648.21,311.92,3406.65,625.03,8991.8,899.18,8092.63,90.3,35.93,126.23,634.02,7368.31,1.56
384,MANIPUR,Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
385,MEGHALAYA,East Garo Hills,2745.11,57.85,2014.64,15.53,4833.13,483.31,4349.81,0,20.42,20.42,40.84,4308.97,0.47
386,MEGHALAYA,East Jaintia Hills,12990.73,26.27,5023.89,6.78,18047.68,1804.77,16242.91,0,54.01,54.01,108.02,16130.89,0.33
387,MEGHALAYA,East Khasi Hills,7128.22,166.14,3297.08,40.78,10632.22,1063.22,9569,0,234.61,234.61,469.22,9089.78,2.45
388,MEGHALAYA,North Garo Hills,12073.67,75.88,3773.95,20.61,15944.11,1594.41,14349.7,51,24.3,75.3,48.6,14250.1,0.52
389,MEGHALAYA,Ri-Bhoi,10475.63,175.76,2099.16,155.12,12905.68,1290.57,11615.11,0,65.55,65.55,131.1,11474.01,0.56
390,MEGHALAYA,South Garo Hills,7386.53,69.6,2678.24,17.68,10152.06,1015.21,9136.85,0,9.32,9.32,18.65,9118.2,0.1
391,MEGHALAYA,South West Garo Hills,9928.03,106.39,3058.68,1330.07,14423.17,1875.07,12548.1,2655.4,127.82,2783.22,255.64,9637.06,22.18
392,MEGHALAYA,South West Khasi Hills,10174.64,24.39,2642.25,5.9,12847.18,1284.72,11562.46,0,9.01,9.01,18.02,11544.44,0.08
393,MEGHALAYA,West Garo Hills,23157.23,186.91,9411.18,534.7,33290.02,3924.12,29365.91,102,312.77,414.77,625.54,28638.37,1.41
394,MEGHALAYA,West Jaintia Hills,11829.53,169.78,4571.08,46.5,16616.9,1661.69,14955.21,5,54.33,59.33,108.66,14836.55,0.4
395,MEGHALAYA,West Khasi Hills,28913.66,122.9,4374.25,29.63,33440.44,3344.04,30096.4,0,14,14,28,30068.4,0.05
396,MIZORAM,Aizawl,1035.99,0,518.14,0,1554.13,155.41,1398.71,0,192.94,192.94,272.27,1126.44,13.79
397,MIZORAM,Champhai,1129.77,0,396.83,0,1526.61,152.66,1373.95,0,43.89,43.89,63.44,1310.51,3.19
398,MIZORAM,Kolasib,1306.08,0,674.92,0,1981,198.1,1782.9,0,29.66,29.66,42.46,1740.44,1.66
399,MIZORAM,Lawngtlai,3433.55,0,545.75,0,3979.3,397.93,3581.37,0,94.59,94.59,144.98,3436.38,2.64
400,MIZORAM,Lunglei,4793.93,0,932.58,0,5726.5,572.65,5153.85,0,192.64,192.64,247.82,4906.03,3.74
401,MIZORAM,Mamit,3080.15,0,1624.59,0,4704.75,470.47,4234.27,0,92.39,92.39,159.87,4074.4,2.18
402,MIZORAM,Saiha,658.16,0,159.47,0,817.63,81.76,735.87,0,39.05,39.05,59.69,676.18,5.31
403,MIZORAM,Serchhip,784.56,0,206.28,0,990.84,99.08,891.76,0,46.72,46.72,69.22,822.53,5.24
404,NAGALAND,Dimapur,8294.88,1363,3392.78,134,13184.66,1318.47,11866.19,208.84,754.54,963.38,893.85,10762.93,8.12
405,NAGALAND,Kiphire,5222.34,0,1623.61,0,6845.95,684.6,6161.36,0,13.62,13.62,9.93,6151.43,0.22
406,NAGALAND,Kohima,15455.23,1708,4425.95,196,21785.18,2178.52,19606.66,0,203.84,203.84,237.15,19369.51,1.04
407,NAGALAND,Longleng,4541.74,0,1484.21,0,6025.95,602.6,5423.36,0,27.69,27.69,8.37,5414.99,0.51
408,NAGALAND,Mokokchung,20948.89,0,6569.46,0,27518.35,2751.84,24766.52,0,78.37,78.37,65.73,24700.24,0.32
409,NAGALAND,Mon,19250.55,0,7107.02,0,26357.57,2635.76,23721.81,0,204.59,204.59,195.43,23526.38,0.86
410,NAGALAND,Peren,16439.43,0,5198.16,0,21637.59,2163.76,19473.83,0,88.15,88.15,90.58,19383.25,0.45
411,NAGALAND,Phek,18276.01,0,7239.7,0,25515.71,2551.57,22964.14,0,38.42,38.42,40.15,22923.99,0.17
412,NAGALAND,Tuenchung,22382.03,0,6568.55,0,28950.58,2895.06,26055.52,0,88.78,88.78,91.99,25963.53,0.34
413,NAGALAND,Wokha,24753.67,0,6257.08,0,31010.75,3101.08,27909.68,0,182.16,182.16,181.48,27728.2,0.65
414,NAGALAND,Zunheboto,9045.9,0,2564.99,0,11610.89,1161.09,10449.8,0,71.12,71.12,63.73,10383.82,0.68
415,ODISHA,Angul,40918.06,8016.18,3962.33,5068.6,57965.17,3266.29,54698.88,19842.55,4982.47,24825.02,4697.2,29220.51,45.38
416,ODISHA,Balasore,63946.34,13973.34,17134.27,25217.46,120271.41,8690.38,111581.03,60553.21,6736.43,67289.64,6581.45,43553.47,60.31
417,ODISHA,Bargarh,41040.64,12215.16,136.38,11941.23,65333.41,3266.68,62066.73,25229.32,4659.88,29889.2,4761.11,31778.72,48.16
418,ODISHA,Bhadrak,17577.53,11087.14,4308.39,15763.32,48736.38,4110.93,44625.45,24476.62,2856.88,27333.5,2812.17,17021.46,61.25
419,ODISHA,Bolangir,46705.54,5498.65,898.73,6580.74,59683.66,3592.3,56091.36,19884.28,5165.1,25049.38,5860.02,30128.74,44.66
420,ODISHA,Boudh,15719.95,3213.73,446.28,4048.53,23428.49,1335.09,22093.4,8556.26,1323.47,9879.73,1448.91,12046.19,44.72
421,ODISHA,Cuttack,45333.07,10664.44,9049.08,7932.29,72978.88,4751.59,68227.29,20894.68,7945.13,28839.81,8172.34,38600.7,42.27
422,ODISHA,Deogarh,22635.47,4325.72,1223.69,2910.58,31095.46,2295.53,28799.93,13300.93,1022.22,14323.15,1016.85,14370.55,49.73
423,ODISHA,Dhenkanal,29674.7,8179.48,5442.07,2994.38,46290.63,3328.61,42962.02,12266.54,3802.23,16068.77,3844.81,26560,37.4
424,ODISHA,Gajapati,12426.51,2564.56,4946.34,2536.35,22473.76,1681.69,20792.07,4790.63,1717.81,6508.44,1747.94,14145.09,31.3
425,ODISHA,Ganjam,38130.93,25987.19,17236.11,12320.64,93674.87,7631.72,86043.15,22434.96,11596.69,34031.65,11638.12,50525.16,39.55
426,ODISHA,Jagatsinghpur,17447.28,12952.8,4359.43,11033.97,45793.48,3911.28,41882.2,21174.49,2795.36,23969.85,2665.69,17567.72,57.23
427,ODISHA,Jajpur,33259.35,9369.34,7250.92,6174.69,56054.3,3752.79,52301.51,27047.91,4823.68,31871.59,4957.19,20011.26,60.94
428,ODISHA,Jharsuguda,17492.03,1543.19,221.66,1977.96,21234.84,1227.29,20007.55,5616.27,3040.07,8656.34,2555.33,11012.9,43.27
429,ODISHA,Kalahandi,47562.29,10366.6,1803.22,9442.98,69175.09,4746.5,64428.59,17276.44,5239.02,22515.46,5180.35,41249.61,34.95
430,ODISHA,Kandhamal,27069.53,3082.84,4436.16,3742.1,38330.63,3062.63,35268,6731.75,2376.84,9108.59,2382.33,25929.07,25.83
431,ODISHA,Kendrapara,6440.35,4884.93,1731.64,4420.82,17477.74,1489.13,15988.61,9202.83,1235.57,10438.4,1195.19,5445.19,65.29
432,ODISHA,Keonjhar,63236.55,6628.07,11512.66,8773.49,90150.77,6281.88,83868.89,27433.48,6075.21,33508.69,6421.27,49577.54,39.95
433,ODISHA,Khurda,24954.24,8150.04,6000.27,8696.86,47801.41,3665.18,44136.23,15210.85,6594.56,21805.41,8087.01,20838.37,49.4
434,ODISHA,Koraput,39704.02,2824.34,4155.74,4642.3,51326.4,3717.98,47608.42,5783.31,4861.89,10645.2,4701.62,36363.49,22.36
435,ODISHA,Malkangiri,24116.19,3376.97,1152.11,3868.62,32513.89,2295.05,30218.84,2986.82,1862.76,4849.58,2184.19,25047.83,16.05
436,ODISHA,Mayurbhanj,88553.02,20433.95,18391.08,23645.41,151023.46,9470.29,141553.17,46923.16,8073.91,54997.07,8111.55,85712.48,38.85
437,ODISHA,Nabarangapur,49146.54,2796.85,3944.29,3499.66,59387.34,3654.62,55732.72,12771.4,3663.88,16435.28,4042.69,38779.13,29.49
438,ODISHA,Nayagarh,25399.22,4104.08,5223.69,5504.78,40231.77,3257.12,36974.65,10536.22,2962.9,13499.12,3527.7,22910.73,36.51
439,ODISHA,Nuapada,22582.22,4454.1,706.77,4115.25,31858.34,1612.08,30246.26,14266.04,1622.35,15888.39,1984.67,13893.34,52.53
440,ODISHA,Puri,30272.34,11901.03,7360.84,16809.44,66343.65,5225.87,61117.78,25029.95,4683.79,29713.74,5179.07,30908.76,48.62
441,ODISHA,Rayagada,22195.6,2677.71,4429.71,2074.6,31377.62,2462.88,28914.74,5235.67,3443.74,8679.41,3139.09,19881.98,30.02
442,ODISHA,Sambalpur,47820.48,6958.94,311.18,10624.63,65715.23,4913.32,60801.91,12173.9,3906.98,16080.88,3313.07,44431.32,26.45
443,ODISHA,Subarnapur,19918.53,3809.21,155.57,4316.71,28200.02,1728.9,26471.12,9548.8,1834.7,11383.5,1958.18,14907.18,43
444,ODISHA,Sundargarh,71232.9,7828.77,2479.81,6338.09,87879.57,6293.27,81586.3,21044.28,7637.43,28681.71,6259.93,52231.44,35.16
445,PUNJAB,Amritsar,30913.1,88382.03,8132.26,44164.69,171592.07,17159.21,154432.86,217950.26,10013.86,227964.11,13357.08,0,147.61
446,PUNJAB,Barnala,11860,36439.26,2291.59,13763.61,64354.46,6435.45,57919.01,119753.01,2339.71,122092.72,3217.1,0,210.8
447,PUNJAB,Bathinda,23526,65211.9,5103.14,59572.76,153413.8,12316.06,141097.73,132148.5,5484.07,137632.57,7492.95,21994.43,97.54
448,PUNJAB,Faridkot,12240.19,38379.86,2201.59,14398.61,67220.25,6722.03,60498.23,96432.07,4746.44,101178.51,3334.25,0,167.24
449,PUNJAB,Fatehgarh Sahib,15745.54,32821.82,3589.65,9542.56,61699.56,6169.96,55529.6,112087.21,3162.43,115249.64,3189.78,0,207.55
450,PUNJAB,Fazilka,19944.33,45812.26,3258.04,33673.97,102688.6,10268.86,92419.74,87076.15,4610.6,91686.75,6121.7,24647.38,99.21
451,PUNJAB,Ferozepur,19819.23,88613.36,5254.15,23748.79,137435.53,13743.55,123691.98,199649.69,3175.54,202825.23,4203.04,0,163.98
452,PUNJAB,Gurdaspur,39037.45,95338.96,10704.47,27671.21,172752.1,16655.94,156096.16,202477.32,7063.91,209541.23,8274.65,738.04,134.24
453,PUNJAB,Hoshiarpur,45196.93,25468.49,12140.76,12163.96,94970.13,9039.22,85930.92,84889.62,7230.48,92120.11,9442.17,10553.3,107.2
454,PUNJAB,Jalandhar,35348.91,62312.87,8193,24552.87,130407.64,13040.76,117366.88,268432.93,12263.94,280696.87,16316.9,0,239.16
455,PUNJAB,Kapurthala,21156.29,41573.51,5779.78,9413.89,77923.47,7792.37,70131.1,151500.35,5419.14,156919.49,4165.23,0,223.75
456,PUNJAB,Ludhiana,47045,114523.44,9961.7,43906.64,215436.78,21543.75,193893.03,338377.09,16329.8,354706.89,17768.76,0,182.94
457,PUNJAB,Mansa,17519.23,56289.78,3536.2,36870.81,114216.02,11421.6,102794.42,145381.42,16.01,145397.43,0,145.77,141.44
458,PUNJAB,Moga,21395.41,76757.79,4251.41,17243.52,119648.13,11964.81,107683.31,243449.7,3651.08,247100.78,5020.23,0,229.47
459,PUNJAB,Mohali,17874.3,4132.63,4255.94,2134.52,28397.39,2565.15,25832.24,23692.53,7176.65,30869.18,5023.46,2048.07,119.5
460,PUNJAB,Muktsar,18477.76,29431.84,3813.63,29942.86,81666.1,8166.61,73499.49,51943.88,2704.84,54648.72,0,19645.96,74.35
461,PUNJAB,Nawanshahar,20468.27,29885.8,4890.58,15062.14,70306.79,7030.68,63276.11,71052.69,2402.25,73454.94,3129.58,6616.5,116.09
462,PUNJAB,Pathankot,11575.76,8791.6,4284.07,6587.94,31239.36,2773.95,28465.41,18741.52,2900.31,21641.83,3436.66,14633.61,76.03
463,PUNJAB,Patiala,42500.59,72474.6,9144.31,28317.21,152436.72,15243.67,137193.04,290318.74,7139.13,297457.87,9639.34,0,216.82
464,PUNJAB,Ropar,16966.22,13807.89,4270.61,10033.9,45078.62,4507.86,40570.76,44000.27,3625.42,47625.69,3481,7896.77,117.39
465,PUNJAB,Sangrur,39219.62,81155.14,8857.52,30865.59,160097.86,16009.79,144088.08,368502.31,6128.98,374631.29,8427.35,0,260
466,PUNJAB,Tarn Taran,26388.23,75249.29,7099.81,31359.75,140097.09,14009.71,126087.38,188607.13,4186.78,192793.91,5705.72,0,152.91
467,RAJASTHAN,Ajmer,31499.64,1909.99,0,6165.97,39575.6,3642.12,35933.48,48623.83,4978.53,53602.36,6721.01,0,149.17
468,RAJASTHAN,Alwar,67625.6,2334.06,7670.86,6876.18,84506.7,7250.58,77256.12,133272.65,15523.23,148795.88,20801.13,0,192.6
469,RAJASTHAN,Banswara,11442.43,671.59,0,8804.14,20918.16,1963.99,18954.16,8478.74,2047.09,10525.83,2776.19,7699.23,55.53
470,RAJASTHAN,Baran,36016.4,3343.56,0,14570.65,53930.61,5096.2,48834.41,52215.36,5754.77,57970.13,10087.08,5458.8,118.71
471,RAJASTHAN,Barmer,26062.15,848.48,1095.32,2337.67,30343.62,2752.42,27591.2,29153.67,5130.98,34284.65,6926.82,1111.73,124.26
472,RAJASTHAN,Bharatpur,35548.66,2103.91,1707.37,6165.18,45525.13,3891.52,41633.61,42957.44,6946.86,49904.3,9164.32,0,119.87
473,RAJASTHAN,Bhilwara,46128.14,3370.82,0,10712.12,60211.07,5848.11,54362.96,71234.43,4140.45,75374.88,5589.6,0,138.65
474,RAJASTHAN,Bikaner,25309.35,238.29,0,1056.16,26603.8,2505.27,24098.53,33254.17,7780.14,41034.31,10097.11,3056.66,170.28
475,RAJASTHAN,Bundi,25607.9,3117.63,0,23490.04,52215.57,4842.2,47373.38,37377.47,2621.85,39999.33,3539.5,11977.46,84.43
476,RAJASTHAN,Chittaurgarh,44079.09,2881.4,0,10838.87,57799.35,5321.41,52477.94,71489.31,1557.33,73046.64,2102.4,0,139.19
477,RAJASTHAN,Churu,12074.34,35.25,402.37,105.74,12617.69,1048.81,11568.89,10251.14,2507.38,12758.51,3359.88,1700.28,110.28
478,RAJASTHAN,Dausa,22053.97,1096.58,339.45,2170.75,25660.74,2538.02,23122.73,38362.34,2442.62,40804.96,3586.91,0,176.47
479,RAJASTHAN,Dhaulpur,19953.14,1250.76,507.45,5118.52,26829.87,2470.97,24358.9,27560.32,2977.89,30538.21,4020.15,915.27,125.37
480,RAJASTHAN,Dungarpur,8885.85,850.45,0,5171.62,14907.91,1441.49,13466.43,8043.55,803.94,8847.49,1085.32,4337.56,65.7
481,RAJASTHAN,Ganganagar,2210.84,19189.9,675.73,23394.56,45471.02,4547.1,40923.91,15048.98,701.4,15750.38,946.89,24928.04,38.49
482,RAJASTHAN,Hanumangarh,2558.6,7812.14,644.97,10004.22,21019.92,1972.46,19047.46,11596.72,804.3,12401.02,1092.42,6364.93,65.11
483,RAJASTHAN,Jaipur,67725.26,2528.05,2717.35,6459,79429.66,7460.03,71969.62,127627.58,30581.96,158209.54,41285.64,0,219.83
484,RAJASTHAN,Jaisalmer,6675.67,20.93,0,67.65,6764.24,676.42,6087.82,15320.95,2507.25,17828.21,3384.79,0,292.85
485,RAJASTHAN,Jalor,41635.13,1163.35,0,10449.12,53247.59,5215,48032.59,80857.75,4419.6,85277.35,5966.46,1226.27,177.54
486,RAJASTHAN,Jhalawar,42154.25,2887.02,0,10237.03,55278.3,4142.54,51135.76,48876.38,2379.16,51255.53,3211.86,3106.9,100.23
487,RAJASTHAN,Jhunjhunun,19229.72,399.9,1797.73,1605.89,23033.23,2248,20785.24,36766.57,8484.85,45251.41,11454.55,0,217.71
488,RAJASTHAN,Jodhpur,41757.4,455.46,343.58,1398.79,43955.22,4245.17,39710.05,71755.44,15050.92,86806.36,20318.74,2908.99,218.6
489,RAJASTHAN,Karauli,35541.37,1124.88,0,3034.51,39700.76,3852.35,35848.41,51625.62,5115.96,56741.58,6855.39,202.68,158.28
490,RAJASTHAN,Kota,28567.82,5750.88,704.84,22295.64,57319.18,5582.1,51737.08,46949.05,6564.63,53513.68,8862.25,3723.78,103.43
491,RAJASTHAN,Nagaur,51135.16,304.2,4927.39,987.86,57354.61,5212.12,52142.49,86573.31,14578.75,101152.06,19681.32,631.27,193.99
492,RAJASTHAN,Pali,42904.89,1150.86,0,5741.24,49796.99,4240.12,45556.86,54088.68,3093.54,57182.22,4176.28,1022.26,125.52
493,RAJASTHAN,Pratapgarh,14691.6,1405.81,0,4566.11,20663.52,1490.84,19172.68,22976.94,519.51,23496.45,701.34,886.18,122.55
494,RAJASTHAN,Rajsamand,8162.25,681.32,126.2,2268.41,11238.18,1123.82,10114.36,10550.75,1727.95,12278.7,2332.73,0,121.4
495,RAJASTHAN,Sawai Madhopur,40235.26,1850.13,0,6918.79,49004.17,4021.59,44982.58,49878.33,10646.89,60525.22,14266.83,0,134.55
496,RAJASTHAN,Sikar,27738.92,859.39,802.04,1591.48,30991.84,3099.18,27892.65,41094.91,8435.53,49530.44,17380.95,342.71,177.58
497,RAJASTHAN,Sirohi,30948.5,938.03,0,2837.73,34724.26,3062.64,31661.61,31618.65,1387.52,33006.17,1873.15,1618.03,104.25
498,RAJASTHAN,Tonk,31072.29,3525.37,0,11588.52,46186.17,4440.55,41745.62,31884.16,7598.61,39482.76,10258.12,2833.47,94.58
499,RAJASTHAN,Udaipur,26718.64,2380.4,0,14613.91,43712.96,4371.3,39341.66,37258.03,2616.28,39874.31,3531.98,1960.28,101.35
500,SIKKIM,East District,71313.41,0,4524.55,0,75837.96,30790.93,45047.03,0,45.74,45.74,653.35,44347.94,0.1
501,SIKKIM,South District,45058.07,0,1682.41,0,46740.48,39378.77,7361.71,0,41.66,41.66,340.83,6979.22,0.57
502,SIKKIM,North District,331775.32,0,34351.31,0,366126.63,287162.64,78963.99,0,0,0,100.7,78863.29,0
503,SIKKIM,West District,72113.99,0,2397.69,0,74511.68,53657.27,20854.41,0,0,0,316.58,20537.83,0
504,TAMILNADU,Ariyalur,21412.45,14301.91,3331.68,3348.16,42394.2,4239.42,38154.78,14306.59,2217.8,16524.39,2301.58,21546.61,43.31
505,TAMILNADU,Chennai,1273.77,0,88.28,478.26,1840.3,184.03,1656.27,0,2846.77,2846.77,3045.47,0,171.88
506,TAMILNADU,Coimbatore,15816.23,8600.94,6099.5,10118.32,40634.99,4063.5,36571.49,39432.61,5130.64,44563.24,5695,1818.67,121.85
507,TAMILNADU,Cuddalore,35024.19,97664.6,23046.5,5592.14,161327.42,16132.72,145194.7,55604.58,34020.92,89625.49,34392.54,60231.3,61.73
508,TAMILNADU,Dharmapuri,15368.45,15549.58,3890.1,6721.86,41529.99,4153,37376.99,43580.17,3476.56,47056.73,3951.46,3028.7,125.9
509,TAMILNADU,Dindigul,33754.04,9327.61,6748.23,14171.97,64001.84,6400.18,57601.66,61201.69,2490.36,63692.05,3004.35,10121.92,110.57
510,TAMILNADU,Erode,17300.28,40945.99,5017.08,6502.14,69765.49,6976.55,62788.94,56158.22,6029.53,62187.75,6446.14,8914.94,99.04
511,TAMILNADU,Kancheepuram,30288.74,55675.46,3524.15,12997.15,102485.5,10248.55,92236.95,56417.67,5083.98,61501.65,7080.3,31540.05,66.68
512,TAMILNADU,Kanyakumari,6682.62,12810.25,3047.84,3672.53,26213.24,2621.32,23591.92,3915.99,2098.06,6014.04,2668.04,17007.89,25.49
513,TAMILNADU,Karur,13721.53,10111.86,4133.44,3057.12,31023.95,3102.4,27921.56,27539.31,1040.44,28579.75,1197.13,4896.65,102.36
514,TAMILNADU,Krishnagiri,18201.41,13828.39,4656.5,5092.15,41778.46,4177.85,37600.61,32871.87,11426.85,44298.71,12989.94,5320.71,117.81
515,TAMILNADU,Madurai,20879.13,31368.31,4475.96,9738.96,66462.36,6646.24,59816.12,37941.26,3751.8,41693.06,4469.3,19842.05,69.7
516,TAMILNADU,Nagapattinam,5545.46,4985.93,802.51,1258.72,12592.62,1259.26,11333.36,14444.18,959.81,15403.98,1042.72,754.01,135.92
517,TAMILNADU,Namakkal,16501.84,14044.08,3687.04,5304.19,39537.15,3953.71,35583.43,45909.19,2194.58,48103.77,2394.94,3343.65,135.19
518,TAMILNADU,Nilgiris,7297.01,396.1,1787.14,133.7,9613.95,961.39,8652.55,572,533.38,1105.38,599.48,7481.07,12.78
519,TAMILNADU,Peramabalur,11153.76,7937.7,2012.68,2836.08,23940.22,2394.02,21546.19,24784.28,1166.93,25951.21,1266.5,2442.55,120.44
520,TAMILNADU,Pudukottai,38901.85,39725.65,8591.77,15230.75,102450.02,10245,92205.01,41329.75,1842.09,43171.84,2029.05,48846.22,46.82
