S.no.,Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
521,TAMILNADU,Ramanathapuram,18818.43,30060.23,4557.26,8083.32,61519.25,6151.92,55367.32,5741.16,1403.53,7144.69,1671.89,47954.27,12.9
522,TAMILNADU,Salem,25606.71,14413.06,4957.48,9810.88,54788.13,5478.81,49309.32,67012.62,4858.81,71871.43,6533.46,4144.87,145.76
523,TAMILNADU,Sivagangai,26822.9,50315.45,4798.92,17586.28,99523.56,9952.36,89571.2,14856.57,1415.74,16272.31,1701.49,73013.15,18.17
524,TAMILNADU,Thanjavur,32171.27,35411.26,5325.1,9286.96,82194.59,8219.46,73975.13,78884.05,2407.42,81291.47,2642.72,6711.2,109.89
525,TAMILNADU,Theni,13005.96,14074.61,8006.47,8202.44,43289.49,4328.94,38960.55,28293.8,754.21,29048.01,898.47,10145.94,74.56
526,TAMILNADU,Thiruppur,19872.46,11392.7,6161.4,9803.14,47229.7,4722.97,42506.73,47882.48,3326.15,51208.63,3612.97,1886.65,120.49
527,TAMILNADU,Thiruvallur,23141.54,63181.84,2168.28,2429.3,90920.97,9092.1,81828.87,32107.97,24935.31,57043.28,25825.33,27100.09,69.71
528,TAMILNADU,Thoothukudi,20284.35,22351.34,5735.75,6654.35,55025.79,5502.58,49523.21,19781.45,1528.97,21310.42,1878.34,28938.53,43.03
529,TAMILNADU,Tirunelveli,29814.35,57379.94,9243.99,7563.91,104002.19,10400.22,93601.97,58482.78,2005.54,60488.31,2384.02,40445.45,64.62
530,TAMILNADU,Tiruvannamalai,36683.6,66936.05,4754.19,4419.76,112793.6,11279.36,101514.24,102551.85,10053.18,112605.02,11426.44,3654.01,110.93
531,TAMILNADU,Tiruvarur,9135.19,12168.1,1219.51,5641.15,28163.95,2816.39,25347.55,21088.85,1283.63,22372.48,1376.07,5801.64,88.26
532,TAMILNADU,Trichy,24011.32,34460.28,4465.68,5802.74,68740.03,6874,61866.02,48016.29,7393.62,55409.92,7636.94,17031.14,89.56
533,TAMILNADU,Vellore,24609.67,25744.61,7427.74,4897.06,62679.08,6267.91,56411.17,53587.85,12860.05,66447.9,14528.1,5438.81,117.79
534,TAMILNADU,Villupuram,29872.61,106907.54,28146.37,10725.46,175651.98,17565.2,158086.78,139172.92,5012.25,144185.17,5690.54,26278.65,91.21
535,TAMILNADU,Viruthunagar,23544.7,18698.96,6935.56,9119.2,58298.42,5829.84,52468.58,32267.95,1893.62,34161.57,2372.19,20007.23,65.11
536,TELANGANA,Adilabad,19190.11,1727.33,4064.27,3940.11,28921.82,2649.94,26271.88,13717.99,2896.41,16614.32,3761,9151.28,63.24
537,TELANGANA,Bhadradri Kothagudem,57693.51,2365.17,16717.87,4993.12,81769.67,7711.91,74057.76,16405.4,3529.38,19934.44,4199.98,53451.64,26.92
538,TELANGANA,Hyderabad,911.96,1672.36,352.13,1672.36,4608.79,460.88,4147.91,0,14164.39,14164.39,25834.22,0,341.48
539,TELANGANA,Jagtial,20699.16,7780.69,4835.11,13689.23,47004.19,4630.36,42373.83,26861.89,4360.86,31222.75,5525.35,12204.45,73.68
540,TELANGANA,Jangaon,18871.46,2499.81,4994.81,6614.92,32980.99,2886.1,30094.9,25735.52,2052.77,27792.83,2053.15,2586.98,92.35
541,TELANGANA,Jayashankar Bhupalapally,37709.62,7514.73,6131.88,13431.64,64787.87,5757.04,59030.83,29076.75,2014.56,31091.3,2825.46,27418.25,52.67
542,TELANGANA,Jogulamba Gadwal,12506.76,1804.72,4126.24,2435.65,20873.38,2086.63,18786.74,8141.88,527.12,8669,1211.4,9433.47,46.14
543,TELANGANA,Kamareddy,26524,6584,7155,10673,50936,4300,46636,34151,1842,35993,3316,9169,77.18
544,TELANGANA,Karimnagar,16981.22,3248.98,3756.82,12725.44,36712.47,3552.07,33160.4,22993.35,1972.42,24965.77,3374.54,7124.14,75.29
545,TELANGANA,Khammam,38183.81,4736.4,10959.93,10349.66,64229.79,5343.77,58886.02,34172.06,3942.95,38115.01,5015,21943.88,64.73
546,TELANGANA,Komarambhem Asifabad,31819,703,1596,1261,35379,3027,32352,5321,2016,7337,2337,24694,22.68
547,TELANGANA,Mahabubabad,22106.49,5422.6,6112.54,9853.63,43495.26,3412.9,40081.36,26071.31,2814.34,28885.65,3409.35,11062.07,72.07
548,TELANGANA,Mahabubnagar,28664,5198,9113,9060,52035,4727,47307,28684,3633,32317,4214,14472,68.31
549,TELANGANA,Mancherial,38003.6,6021.23,6086.12,8819.81,58930.76,5350.18,53580.95,20352.31,1629.29,21981.6,2622.65,30605.99,41.03
550,TELANGANA,Medak,24610,4758,3688,9799,42855,4284,38571,23699,909,24608,2791,12078,63.8
551,TELANGANA,Medchal Malkajgiri,5263.44,487.64,1814.98,1048.73,8614.78,861,7753.01,2772.21,4514.07,7286,4968,882.52,93.98
552,TELANGANA,Nagarkurnool,32450,2887.51,12322.79,5996.66,53656.96,5365.7,48291.26,27430.42,4394.34,31824.76,5098.42,15762.08,65.9
553,TELANGANA,Nalgonda,38917,8964,11369,23833,83083,7759,75324,49929,5991,55920,7981,19150,74.24
554,TELANGANA,Nirmal,33194,7171,5800,9517,55682,5213,50469,16670,2048,18718,2273,31524,37.09
555,TELANGANA,Nizamabad,34984,13276,8087,26037,82384,7492,74892,51289,5207,56495,6039,18336,75.44
556,TELANGANA,Peddapalli,19081.14,5680.07,3848.87,15341.78,43951.86,4002.66,39949.2,19149.09,1715.06,20864.15,2863.19,17936.8,52.23
557,TELANGANA,Rajanna Sircilla,14713.49,2454.05,3796.08,5348.5,26312.12,1987.9,24324.21,18435.91,1561.93,19997.84,1880.77,4584.19,82.21
558,TELANGANA,Rangareddy,24084.67,3480.65,8830.46,5512.78,41908.57,3920.97,37987.6,25165.12,5715.91,30881.04,6601.16,6309.26,81.29
559,TELANGANA,Sangareddy,27589.54,3488.21,5755.72,5366.92,42200.39,4129.27,38071.12,23411.78,3464.26,26876.41,5886.81,10038.84,70.6
560,TELANGANA,Siddipet,24946.64,7302.23,6758.71,12670,51677.58,5167.56,46510.02,39812.83,3795.41,43608.24,4271.95,3291.51,93.76
561,TELANGANA,Suryapet,21026.47,9794.01,7303.85,16665.05,54789.38,4893,49896.38,27842.01,2726.72,30568.73,4321.7,17901.49,61.26
562,TELANGANA,Vikarabad,23528,2169,5951,4624,36272,3203,33069,15629,2995,18624,3745,13695,56.32
563,TELANGANA,Wanaparthy,10459.02,2539.45,2335.44,3549.01,18882.92,1682.49,17200.43,10013.16,1522.52,11535.68,2063.24,5123.99,67.07
564,TELANGANA,Warangal Rural,16327.79,4593.01,4491.13,10125.37,35537.3,3519.79,32017.51,25537.9,2046.24,27584.14,2884.13,4849.78,86.15
565,TELANGANA,Warangal Urban,12206,2615,2666,4802,22289,2122,20167,17145,1195,18340,2276,3373,90.94
566,TELANGANA,Yadadri Bhongiri,22949.72,2663.52,7044.47,6477.54,39135.24,3685,35450.24,23742,2838,26580,3801,7907.24,74.98
567,TRIPURA,Dhalai,11265.37,656.58,8257.26,3331.22,23510.43,5925.81,17584.62,40.8,847.78,888.58,1307.6,16236.22,5.05
568,TRIPURA,Gomati,11739.85,1072.32,5836.87,4345.33,22994.37,2846,20148.37,84.61,828.98,913.59,1172.97,18890.73,4.53
569,TRIPURA,Khowai,7584.64,789.87,2548.52,2894.72,13817.75,3003.28,10814.47,306.6,611.84,918.44,819.27,9688.6,8.49
570,TRIPURA,North Tripura,6316.06,561.53,4871.52,2380.68,14129.79,3310.93,10818.86,32.4,909.5,941.9,1339.77,9446.63,8.71
571,TRIPURA,Sepahijala,11043.65,872.91,5144.18,3548.44,20609.18,3817.43,16791.75,704.05,950.89,1654.94,1296.91,14790.79,9.86
572,TRIPURA,South Tripura,12231.78,889.75,5538.72,3604.37,22264.62,4165.75,18098.87,172.07,876.34,1048.41,1202.16,16724.65,5.79
573,TRIPURA,Unakoti,6787.36,629.7,4257.61,2520.58,14195.25,1526.87,12668.38,4.81,606.38,611.19,887.3,11776.27,4.82
574,TRIPURA,West Tripura,13198.11,861.61,3559.33,3427.93,21046.98,4081.06,16965.92,624.28,2157.91,2782.19,2645.7,13695.47,16.4
575,UTTARPRADESH,Agra,54040.98,13500.6,809.86,22875.05,91226.49,6467.99,84758.5,83464.26,7654.2,91118.45,8902.22,8384.66,107.5
576,UTTARPRADESH,Aligarh,49646.35,12936.07,3085.12,29753.61,95421.14,6396.63,89024.52,51082.36,10220.91,61303.27,13875.03,29381.42,68.86
577,UTTARPRADESH,Ambedkar Nagar,48480.2,12412.1,387.88,18042.08,79322.26,4619.93,74702.33,50783.94,5534.13,56318.07,7389.75,16528.64,75.39
578,UTTARPRADESH,Amethi,29779.26,20034.79,891.89,29588.6,80294.55,5204.18,75090.37,43561.74,4437.78,47999.52,5194.13,26334.5,63.92
579,UTTARPRADESH,Amroha,30025.02,6680.28,2016.91,11091.14,49813.35,2776.32,47037.04,44832.01,4357.04,49189.05,5114.79,2671.09,104.58
580,UTTARPRADESH,Auraiya,32681.61,11385.11,1414.93,23369.73,68851.38,5566.88,63284.49,28326.2,3224.37,31550.57,3546.75,31411.54,49.86
581,UTTARPRADESH,Ayodhya,43945.3,16505.28,715.75,30284.05,91450.38,5150.42,86299.96,50701.6,6328.9,57030.5,7661.81,27936.56,66.08
582,UTTARPRADESH,Azamgarh,74575.42,22270.91,0,31798.42,128644.75,6934.91,121709.84,66875.61,12123.66,78999.27,14560.07,40274.16,64.91
583,UTTARPRADESH,Bagpat,16241.39,7858.98,1222.67,14685.75,40008.8,2235.25,37773.55,32572.1,2495.67,35067.77,3131.67,3767.36,92.84
584,UTTARPRADESH,Bahraich,80478.62,14509.37,3863.07,21937.47,120788.53,6343.65,114444.88,51267.29,8747.66,60014.95,10318.62,52858.97,52.44
585,UTTARPRADESH,Ballia,56154.46,12408.07,547.5,19042.18,88152.21,4729.25,83422.96,45675.11,7339.63,53014.74,8646.49,29101.36,63.55
586,UTTARPRADESH,Balrampur,59960.6,14533.09,6223.69,19507.38,100224.75,9685.95,90538.81,40778.51,5488.45,46266.96,6617.41,43142.89,51.1
587,UTTARPRADESH,Banda,48688.53,5720.51,519.79,8403.06,63331.9,3723.39,59608.51,36116.28,4037.47,40153.75,6187.92,17304.3,67.36
588,UTTARPRADESH,Barabanki,65704.92,37408.1,1657.39,73843.3,178613.71,13230.14,165383.56,101396.2,8130.32,109526.52,9530.21,54457.15,66.23
589,UTTARPRADESH,Bareilly,85842.96,16070.04,3116.14,30261.75,135290.89,7770.41,127520.48,71803.57,13565.18,85368.75,15900.71,43777.07,66.95
590,UTTARPRADESH,Basti,60193.08,5353.54,829.3,9014.97,75390.88,3769.54,71621.34,41045.45,5990.56,47036.01,6821.05,23754.84,65.67
591,UTTARPRADESH,Bijnor,86091.85,18620.56,6117.09,33226.83,144056.32,7705.56,136350.76,86514.45,7299.21,93813.66,8279,42652.39,68.8
592,UTTARPRADESH,Budaun,61235,5039.39,967.46,11959.1,79200.95,5245.54,73955.42,52041.7,7754.47,59796.17,9007.92,14540.14,80.85
593,UTTARPRADESH,Bulandshahar,48917.7,40862.05,2414.01,76782,168975.76,10663.29,158312.47,135089.69,6574.67,141664.36,8780,21867.06,89.48
594,UTTARPRADESH,Chandauli,32876.62,11624.68,0,14344.8,58846.1,5765.05,53081.05,22462.29,4283.15,26745.44,4856.29,25762.47,50.39
595,UTTARPRADESH,Chitrakoot,29037.47,3969.77,305.35,5832.29,39144.88,2492.1,36652.78,27475.14,2502.4,29977.54,3974.9,5202.74,81.79
596,UTTARPRADESH,Deoria,50234.5,10512.42,1529.91,14509.8,76786.62,4107.09,72679.53,39430.31,7668.38,47098.68,9055.26,24193.96,64.8
597,UTTARPRADESH,Etah,32988.78,9078.99,1477.22,17169.87,60714.87,3525.41,57189.46,41770.55,4283.97,46054.52,4814.22,10604.68,80.53
598,UTTARPRADESH,Etawah,40920.99,16268.42,985.43,29692.86,87867.7,8786.77,79080.93,27552.56,3215.51,30768.07,3679.42,47848.95,38.91
599,UTTARPRADESH,Farrukhabad,37290.7,5536.22,1221.68,10814.67,54863.27,4253.8,50609.47,34226.52,3809.61,38036.13,4410.24,11972.71,75.16
600,UTTARPRADESH,Fatehpur,92381.39,32131.29,3736.63,32809.47,161058.78,12554.02,148504.76,97567.5,6615.37,104182.87,7821.05,43823.48,70.15
601,UTTARPRADESH,Firozabad,38143.78,11166.01,4737.44,21617.06,75664.29,5033.31,70630.98,72524.96,6154.17,78679.13,7084.82,9227.1,111.39
602,UTTARPRADESH,G.B.Nagar,18927.78,16996.04,3062.92,26117.45,65104.18,4557.63,60546.55,62501.84,3893.42,66395.26,4455.13,1646.99,109.66
603,UTTARPRADESH,Ghaziabad,15248.13,9630.54,1078.71,15185.93,41143.3,4114.33,37028.97,35693.32,11837.44,47530.76,17469.88,1339.6,128.36
604,UTTARPRADESH,Ghazipur,65387.57,15562.32,959.92,16217.3,98127.11,6985.21,91141.91,50062,8272.48,58334.48,9550.87,31529.04,64
605,UTTARPRADESH,Gonda,61820.53,12589.33,2545.99,18645.26,95601.11,5270.7,90330.41,47157.64,8722.89,55880.53,10452.51,32720.27,61.86
606,UTTARPRADESH,Gorakhpur,85839.68,9482.4,2119.44,14705.26,112146.78,7430.63,104716.15,56120.27,10870.09,66990.36,12468.71,36127.16,63.97
607,UTTARPRADESH,Hamirpur,34762.18,4275.54,0,6166.73,45204.45,2260.22,42944.22,28369.07,2571.54,30940.61,3056.95,11518.21,72.05
608,UTTARPRADESH,Hapur,15797.11,10369.85,1372.92,20650.31,48190.18,2409.51,45780.67,45976.1,3165.06,49141.16,4189,1300.77,107.34
609,UTTARPRADESH,Hardoi,103582.92,28853.47,5035.7,47625.88,185097.97,13817.64,171280.33,95005.91,8745.11,103751.02,10082,66192.41,60.57
610,UTTARPRADESH,Hathras,25389.59,11542.18,579.04,21193.24,58704.04,3593.87,55110.17,52158.42,3773.39,55931.81,4236.67,6492.45,101.49
611,UTTARPRADESH,Jalaun,75624.25,11964.17,949.24,24573.13,113110.78,7027.97,106082.82,48282.6,4039.72,52322.32,5440.99,52359.23,49.32
612,UTTARPRADESH,Jaunpur,80060.78,25142.16,0,56046.01,161248.95,15679.17,145569.78,99366.93,12067.34,111434.27,14055.4,35310.72,76.55
613,UTTARPRADESH,Jhansi,47087.9,18944.73,0,23355,89387.63,4479.33,84908.3,39230.56,2926.59,42157.15,3462.67,42215.07,49.65
614,UTTARPRADESH,Kannauj,36390.39,10045.28,1667.91,22843.22,70946.8,5138.59,65808.21,39762.58,4021.25,43783.83,4637.87,26764.71,66.53
615,UTTARPRADESH,Kanpur Dehat,56928.14,14283.85,461.52,24834.55,96508.06,7425.01,89083.05,58668.52,3995.08,62663.6,4372.33,26042.2,70.34
616,UTTARPRADESH,Kanpur Nagar,48539.34,13425.34,2018.08,27006.71,90989.47,5973.91,85015.55,59126.97,8238.31,67365.28,8984.33,18108.75,79.24
617,UTTARPRADESH,Kasganj,30332.49,11877.15,1631.7,17712.82,61554.16,3077.71,58476.45,38406.88,3611.03,42017.91,4261.66,15807.9,71.85
618,UTTARPRADESH,Kaushambi,37628.32,8930.82,5491.85,12541.28,64592.28,5445.63,59146.64,38065.54,4033.64,42099.18,4891.06,16554.35,71.18
619,UTTARPRADESH,Kushi Nagar,69847.29,29979,2246.95,38474.33,140547.58,9438.99,131108.59,60855.26,16997.71,77852.97,20279.44,49973.88,59.38
620,UTTARPRADESH,Lakhimpur Kheri,139297.98,25337.79,22814.2,53109.61,240559.58,16632.83,223926.75,115738.38,10605.16,126343.54,13291.22,94897.16,56.42
621,UTTARPRADESH,Lalitpur,20245.42,4333.01,0,17547.65,42126.08,2106.3,40019.77,28703.37,2645.49,31348.86,5020.88,6295.53,78.33
622,UTTARPRADESH,Lucknow,35678.01,16942.95,1198.57,26052.81,79872.34,4296.48,75575.86,35690.03,13691.67,49381.7,16863.07,29458.24,65.34
623,UTTARPRADESH,Mahoba,10378.64,5221.63,0,7286.19,22886.46,1144.32,21742.14,17674.5,1409.29,19083.79,1916.53,2934.78,87.77
624,UTTARPRADESH,Mahrajganj,56512.35,19830.46,1979,23500.74,101822.55,5091.13,96731.42,53160.56,6069.7,59230.26,7219.85,36351.01,61.23
625,UTTARPRADESH,Mainpuri,37500.81,18600.7,1109.04,33584.54,90795.09,4539.75,86255.34,55983.23,4191.23,60174.46,4724.41,27738.59,69.76
626,UTTARPRADESH,Mathura,43531.96,25865.59,769.69,41557.73,111724.97,6572.33,105152.63,75651.09,5911.71,81562.8,6892.32,26381.65,77.57
627,UTTARPRADESH,Maunath Bhanjan,33104.83,7683.02,6223.69,11449.11,58460.65,5477.55,52983.09,27563.71,5657.89,33221.6,6881.18,18538.21,62.7
628,UTTARPRADESH,Meerut,39395.08,12913.37,2877.38,21237.38,76423.22,4494.87,71928.34,49980.17,10448.4,60428.57,11895.54,15185.07,84.01
629,UTTARPRADESH,Mirzapur,27948.05,11501.73,58.07,14951.43,54459.28,4403.71,50055.58,24703.63,6083.17,30786.8,7051.49,18300.46,61.51
630,UTTARPRADESH,Moradabad,40768.81,10703.75,1858.61,16881.3,70212.48,4595.32,65617.15,48160.81,10462.85,58623.66,14277.47,8496.81,89.34
631,UTTARPRADESH,Muzaffarnagar,42952.08,25623.77,3128.12,41464.84,113168.8,5658.44,107510.36,70542,6353.51,76895.51,7184.12,30817.63,71.52
632,UTTARPRADESH,Pilibhit,86262.48,16574.21,4326.6,26957.77,134121.06,7211.35,126909.71,57893.86,4952.6,62846.46,5642.25,63373.6,49.52
633,UTTARPRADESH,Pratapgarh,71211.58,30365.59,0,38369.33,139946.5,11253.06,128693.44,95709.82,7554.16,103263.98,8610.04,29417.57,80.24
634,UTTARPRADESH,Prayagraj,68331.06,37977.88,1666.59,47373.7,155349.22,9246.46,146102.76,86809.93,15266.54,102076.47,17557.6,43692.61,69.87
635,UTTARPRADESH,Raibareli,65473.62,20982.23,1502.33,31971.25,119929.44,7188.3,112741.13,60950.3,6415.82,67366.13,7568.83,44222,59.75
636,UTTARPRADESH,Rampur,43927.85,11981.93,1837.13,19183.34,76930.24,5555.05,71375.19,48930.24,4711.65,53641.89,5508.35,19063.37,75.15
637,UTTARPRADESH,Saharanpur,62214.78,23996.48,5802.52,36712.56,128726.34,8230.5,120495.84,137850.68,6727.41,144578.09,7637.3,6992.94,119.99
638,UTTARPRADESH,Sambhal,33845.47,3295.99,2039.1,5272.63,44453.19,2453.85,41999.33,33338.43,5121.15,38459.58,5989.36,3596.46,91.57
639,UTTARPRADESH,Sant Kabir Nagar,36822.68,3826.46,320.31,7634.51,48603.96,2430.2,46173.76,23768.03,7443.55,31211.58,11252.39,11153.35,67.6
640,UTTARPRADESH,Sant Ravidas Nagar,19703.47,7363.59,0,9621.43,36688.49,3442.83,33245.66,24716.29,3737.09,28453.38,4172.98,4356.39,85.59
641,UTTARPRADESH,Shahjahanpur,81647.73,14921.22,5091.85,25264.4,126925.2,6346.26,120578.94,65481.86,7660.66,73142.52,9201.28,45895.79,60.66
642,UTTARPRADESH,Shamli,19784.03,8115.55,1544.69,13071.07,42515.34,2125.77,40389.58,40899.32,3229.34,44128.66,3622.42,2146.67,109.26
643,UTTARPRADESH,Shrawasti,35364.72,5368.75,3827.78,8103.08,52664.33,4804.92,47859.41,24258.46,2860.64,27119.1,3461.23,20139.71,56.66
644,UTTARPRADESH,Siddharth Nagar,63433.13,10634.5,1352.15,16432.15,91851.94,4592.6,87259.34,47404.43,6559.72,53964.15,7920.2,31934.71,61.84
645,UTTARPRADESH,Sitapur,105889,36408.38,4825.94,63271.66,210394.98,13480.7,196914.28,107818.2,10106.98,117925.18,12058.26,77037.82,59.89
646,UTTARPRADESH,Sonbhadra,13555.99,6893.95,0,4101.13,24551.07,1353.88,23197.19,9190.83,3768.39,12959.22,4545.89,9460.48,55.87
647,UTTARPRADESH,Sultanpur,33267.92,37695.56,499.33,50863.87,122326.68,10468.13,111858.56,49392.88,5736.97,55129.85,6597.58,55868.1,49.29
648,UTTARPRADESH,Unnao,76364.2,40341.81,0,70428.46,187134.46,10440.71,176693.76,100951.63,7760.66,108712.29,9223.46,66518.66,61.53
649,UTTARPRADESH,Varanasi,32551.95,7722.67,342.17,13545.34,54162.12,5416.21,48745.91,38544.6,10075.51,48620.11,11156.49,5198.09,99.74
650,UTTARAKHAND,Dehradun,46898.4,4662.73,1655,3143.27,56359.4,2818,53541.4,7588.5,7155,14743.5,6731,38797.9,27.54
651,UTTARAKHAND,Haridwar,25973.2,31267.84,4735,38362.17,100338.21,5016,95322.21,49696.86,13602.8,63299.66,6828.76,32022.55,66.41
652,UTTARAKHAND,Nainital,5835,6026.36,288,3310.96,15460.32,773,14687.32,4820,3504.98,8324.98,3114.36,6362.34,56.68
653,UTTARAKHAND,Udham Singh Nagar,36321.8,51134.86,2339,42542.33,132337.99,6616.01,125721.98,68127.42,9886.9,78014.32,4929.28,47707.66,62.05
654,WEST BENGAL,Coochbehar,185334.09,5143.37,60379.13,12100.71,262957.3,26295.71,236661.59,42261.5,4447.27,46708.77,5988.25,188411.84,20
655,WEST BENGAL,Jalpaiguri,228086.62,3939.51,65301.46,12078.29,309405.88,30940.59,278465.29,8241.2,4395.75,12636.95,5908.97,264315.12,5
656,WEST BENGAL,Darjeeling,39186.21,0,13052.71,0,52238.92,5223.89,47015.03,1169.1,1478.05,2647.15,2012.74,43833.19,6
657,WEST BENGAL,Uttar Dinajpur,91467.43,7541.41,22166.67,24353.83,145529.34,12014.51,133514.83,78133.6,4811.27,82944.87,7569.33,47811.9,62
658,WEST BENGAL,Dakshin Dinajpur,65504.74,6432.72,17257.72,18756.55,107951.73,9115.64,98836.09,50706,2618.71,53324.71,3349.33,44780.76,54
659,WEST BENGAL,Malda,96263.27,9181.2,21992.81,23347.7,150784.98,14697.37,136087.61,59108.6,6392.43,65501.03,9828.37,67150.64,48
660,WEST BENGAL,Murshidabad,137803.88,19693.42,38349.83,53252.88,249100.01,23373.65,225726.36,186187,10286.71,196473.71,17323.82,22215.54,87
661,WEST BENGAL,Nadia,113617.65,18299.88,43916.37,47699.21,223533.1,18795.48,204737.62,179222.2,8117.25,187339.45,10601.16,14914.26,92
662,WEST BENGAL,North 24-Parganas,105327.29,8147.66,27207.49,25564.5,166246.93,16307.62,149939.31,84524.6,14404.77,98929.37,19035.91,46378.8,66
663,WEST BENGAL,Howrah,18922.39,1114.8,5987.95,6932.33,32957.47,3295.74,29661.73,4970,2356.32,7326.32,6038.57,18653.16,25
664,WEST BENGAL,Hooghly,87499.21,6344.07,24032.23,21148.49,139024,13902.41,125121.59,54601.8,7171.42,61773.22,10669.27,59850.52,49
665,WEST BENGAL,Burdwan,170643.19,13283.39,42504.98,35214.86,261646.42,24768.66,236877.76,94059.6,9608.01,103667.61,15762.29,127055.87,44
666,WEST BENGAL,Birbhum,83998.75,7628.72,20743.15,16112.27,128482.89,11908.95,116573.94,36191.8,3948.14,40139.94,7780.42,72601.72,34
667,WEST BENGAL,Bankura,98905.53,21562.59,24886.5,32647.44,178002.06,16232.96,161769.1,69980.27,4702.22,74682.48,7362.46,84426.38,46
668,WEST BENGAL,Purulia,53190.45,8011.53,14077.33,4806.45,80085.76,7361.68,72724.08,2232.8,4627.09,6859.89,6411.97,64079.31,9
669,WEST BENGAL,Purba Medinipore,53800.58,1957.01,15434.6,10220.33,81412.52,8141.26,73271.26,21562.4,3047.88,24610.28,4341.44,47367.42,34
670,WEST BENGAL,Paschim Medinipore,241691.73,12698.55,68840.05,40624.33,363854.66,34991.16,328863.5,110919.6,7943.15,118862.75,12907.78,205036.12,36
671,A&N ISLAND,North & Middle Andaman,9776.6,9.51,110.31,2.38,9898.8,989.88,8908.92,0.8,312.9,313.7,275.56,8549.52,3.52
672,A&N ISLAND,Nicobar,16851.09,0.65,1500.12,0.16,18352.03,1835.2,16516.83,0.44,109.08,109.52,96.15,16391.36,0.66
673,A&N ISLAND,South Andaman,8365.75,9.39,213.51,2.35,8591,859.1,7731.9,13.54,471.41,484.95,339.49,7190.64,6.27
674,CHANDIGARH,UT of Chandigarh,1631,687,488,1410,4216,422,3794,58,3320,3378,3320,416,89
675,Dadra & Nagar Haveli,Dadra & Nagar Haveli,5737.2,137.57,330,656.82,6861.59,343,6518.59,750.46,1292.4,2042.86,1292.4,4475.73,31.34
676,Daman,Daman,1172,38,0,94,1304,65,1239,402,233,635,322,480,51.25
677,Diu,Diu,412,20,0,39,471,47,424,327,59,386,82,6,91.04
678,LAKSHADWEEP,Agatti,93.3,0,16.9,0,110.2,73.4,36.8,0,27.1,27.1,27.1,9.7,73.64
679,LAKSHADWEEP,Amini,89.1,0,16.2,0,105.3,69.9,35.4,0,28.7,28.7,28.7,6.8,81.07
680,LAKSHADWEEP,Androth,166.5,0,30.2,0,196.7,131.9,64.8,0,41.9,41.9,41.9,22.9,64.66
681,LAKSHADWEEP,Chetlat,35.8,0,6.5,0,42.3,28.2,14.1,0,8.7,8.7,8.7,5.4,61.7
682,LAKSHADWEEP,Kadmat,107.3,0,19.5,0,126.8,84.5,42.3,0,19.8,19.8,19.8,22.6,46.81
683,LAKSHADWEEP,Kalpeni,78.5,0,14.2,0,92.7,61.8,30.9,0,16.4,16.4,16.4,14.5,53.07
684,LAKSHADWEEP,Kiltan,56.1,0,10.2,0,66.3,43.8,22.5,0,15.1,15.1,15.1,7.4,67.11
685,LAKSHADWEEP,Kavaratti,124.9,0,22.7,0,147.6,97.3,50.3,0,41.8,41.8,41.8,8.5,83.1
686,LAKSHADWEEP,Minicoy,157.6,0,27.3,0,184.9,121.2,63.7,0,38.6,38.6,38.6,25.01,60.6
687,Puducherry,Puducherry,7035,2738.37,1775.58,3671.63,15220.58,1522.06,13698.52,10338,3632.5,13970.5,3652,0,101.99
688,Puducherry,Karaikal,1973.73,4080.47,209.22,880.62,7144.04,714.4,6429.64,616.65,387.67,1004.32,404.52,5408.47,15.62
689,Puducherry,Mahe,245.45,0,23.11,0,268.56,26.85,241.71,0,166,166,176.34,65.37,68.68
